time, px, py, pz, qx, qy, qz, qw
0, 0.563953, -0.612403, 1.62629, 0.001427, -0.0392713, 0.709009, 0.704104
0.0201356, 0.563873, -0.612586, 1.62624, 0.00214573, -0.0383723, 0.709166, 0.703993
0.0404143, 0.563841, -0.612653, 1.62633, 0.00244448, -0.0387788, 0.709468, 0.703666
0.0598221, 0.563857, -0.612818, 1.62639, 0.0021203, -0.0388936, 0.709535, 0.703593
0.0798638, 0.563867, -0.612921, 1.62638, 0.00185897, -0.0391785, 0.709462, 0.703651
0.100003, 0.563821, -0.613176, 1.6262, 0.00218491, -0.0386006, 0.709193, 0.703953
0.119705, 0.563741, -0.613408, 1.62606, 0.00219115, -0.0382787, 0.709298, 0.703865
0.14049, 0.563854, -0.613678, 1.62607, 0.00260628, -0.0380522, 0.709292, 0.703882
0.16041, 0.563773, -0.613945, 1.62606, 0.00264908, -0.03811, 0.709495, 0.703674
0.180496, 0.563641, -0.614166, 1.62612, 0.00236457, -0.0387571, 0.709706, 0.703427
0.199779, 0.563657, -0.614647, 1.62597, 0.00179447, -0.0376681, 0.709667, 0.703527
0.219844, 0.563596, -0.615011, 1.6258, 0.00220716, -0.036272, 0.709356, 0.703913
0.240404, 0.563427, -0.615416, 1.62566, 0.00171543, -0.0355615, 0.709319, 0.703988
0.260367, 0.563375, -0.615682, 1.62565, 0.00211886, -0.0355397, 0.709498, 0.703807
0.28052, 0.563382, -0.616136, 1.62564, 0.00273849, -0.0342918, 0.709446, 0.70392
0.299994, 0.563471, -0.616399, 1.62586, 0.00149918, -0.0357488, 0.709609, 0.703687
0.31994, 0.563269, -0.61696, 1.62564, 0.00173171, -0.0332633, 0.709512, 0.703905
0.340489, 0.56339, -0.617302, 1.62563, 0.00165564, -0.0331008, 0.709075, 0.704354
0.360501, 0.563461, -0.617679, 1.6257, 0.00135924, -0.0329432, 0.708951, 0.704487
0.380467, 0.563418, -0.617984, 1.62576, 0.00199255, -0.0322197, 0.708827, 0.704644
0.400008, 0.563467, -0.618319, 1.62588, 0.00188521, -0.0322742, 0.708751, 0.704718
0.419941, 0.563576, -0.618601, 1.62606, 0.00131276, -0.0329516, 0.708742, 0.704697
0.440448, 0.563661, -0.619055, 1.62619, 0.0015043, -0.0319068, 0.708589, 0.704898
0.460452, 0.563863, -0.619252, 1.62648, 0.00153937, -0.0327598, 0.708346, 0.705103
0.479815, 0.563897, -0.619608, 1.62659, 0.00148115, -0.0322741, 0.708318, 0.705154
0.500023, 0.564099, -0.619719, 1.62695, 0.00184246, -0.033192, 0.708197, 0.705232
