time, px, py, pz, qx, qy, qz, qw
0, 0.481354, -0.558249, 1.60658, 0.00336532, -0.0361006, 0.686576, 0.726153
0.0194528, 0.481303, -0.558264, 1.60739, 0.00355379, -0.0359473, 0.68674, 0.726005
0.0400314, 0.48117, -0.558164, 1.60817, 0.00355992, -0.0367272, 0.686998, 0.725722
0.0594032, 0.481026, -0.558032, 1.60877, 0.00232481, -0.0376829, 0.687111, 0.725571
0.0800085, 0.480916, -0.558013, 1.60946, 0.00189918, -0.0375546, 0.687201, 0.725494
0.0999815, 0.480871, -0.557973, 1.61028, 0.00180031, -0.0374171, 0.687082, 0.725614
0.119249, 0.480569, -0.557942, 1.61075, 0.00221633, -0.0366757, 0.687208, 0.725531
0.139915, 0.480233, -0.557915, 1.61125, 0.00316162, -0.035644, 0.687505, 0.725298
0.16004, 0.480168, -0.557948, 1.61207, 0.00298878, -0.0358746, 0.687694, 0.725107
0.179989, 0.480331, -0.557894, 1.61299, 0.00181796, -0.03706, 0.687689, 0.725057
0.19953, 0.480097, -0.558029, 1.61339, 0.0016903, -0.0352398, 0.687663, 0.725172
0.219242, 0.479902, -0.557932, 1.61411, 0.00162031, -0.0354474, 0.68767, 0.725155
0.239926, 0.479747, -0.557917, 1.61494, 0.00314062, -0.0345263, 0.687663, 0.725202
0.259377, 0.479602, -0.557865, 1.61582, 0.00337863, -0.0349691, 0.68776, 0.725087
0.279632, 0.479617, -0.557871, 1.61661, 0.00244507, -0.0361363, 0.687709, 0.725083
0.299956, 0.479658, -0.55783, 1.61759, 0.00226799, -0.0371848, 0.687862, 0.724885
0.319252, 0.479721, -0.557792, 1.61861, 0.00153474, -0.0378832, 0.688054, 0.724668
0.3399, 0.479532, -0.557878, 1.61943, 0.00208008, -0.0372943, 0.688243, 0.724518
0.359966, 0.479327, -0.557807, 1.62015, 0.0029161, -0.036991, 0.688352, 0.724427
0.379902, 0.479211, -0.557829, 1.62083, 0.00215084, -0.0369416, 0.688536, 0.724257
0.399819, 0.479284, -0.557854, 1.62177, 0.00196036, -0.0370615, 0.688684, 0.724111
0.419231, 0.479361, -0.557979, 1.62245, 0.000976012, -0.0373204, 0.688885, 0.723908
0.439256, 0.479262, -0.557881, 1.62314, 0.00080368, -0.0378013, 0.689081, 0.723697
0.459307, 0.479085, -0.557956, 1.62381, 0.00239372, -0.0354424, 0.689078, 0.723816
0.479951, 0.479044, -0.557975, 1.62458, 0.00193716, -0.0356649, 0.689324, 0.723573
0.499944, 0.478846, -0.557941, 1.62521, 0.00303739, -0.0346535, 0.689388, 0.723557
0.519218, 0.478975, -0.558038, 1.62587, 0.00167591, -0.0348558, 0.689322, 0.723614
0.539399, 0.4792, -0.557962, 1.62679, 0.000725215, -0.0370473, 0.689111, 0.723708
0.559967, 0.479087, -0.558113, 1.62742, 0.0010998, -0.0361046, 0.68922, 0.723652
0.579767, 0.479073, -0.558097, 1.62809, 0.000648024, -0.0363663, 0.689334, 0.72353
0.599312, 0.478853, -0.557998, 1.62874, 0.00264431, -0.0357495, 0.689517, 0.723382
0.619456, 0.47887, -0.557984, 1.62946, 0.00157018, -0.0371956, 0.689702, 0.723135
0.640104, 0.479023, -0.557942, 1.63028, 0.00107797, -0.0382708, 0.689767, 0.723018
0.659785, 0.479148, -0.558076, 1.6307, 0.000463678, -0.0385194, 0.689582, 0.723183
0.680285, 0.478988, -0.558029, 1.63116, 0.000218717, -0.0390708, 0.689704, 0.723036
0.7002, 0.478787, -0.558027, 1.63176, 0.00237543, -0.0380653, 0.689861, 0.722936
0.719429, 0.478766, -0.558145, 1.63215, 0.00228417, -0.037696, 0.689964, 0.722858
0.739972, 0.478598, -0.558003, 1.63254, 0.00229975, -0.0376388, 0.690253, 0.722585
0.760168, 0.478534, -0.558177, 1.63276, 0.00142443, -0.0372031, 0.690206, 0.722655
0.779984, 0.478611, -0.558334, 1.6333, 0.000685293, -0.0374524, 0.690298, 0.722554
0.800106, 0.47857, -0.558355, 1.63379, 0.00108458, -0.0375388, 0.690286, 0.722562
0.819412, 0.478238, -0.558411, 1.63394, 0.00205573, -0.0362084, 0.690223, 0.722687
0.84011, 0.478123, -0.558457, 1.63446, 0.00273554, -0.0356943, 0.690299, 0.722638
0.859496, 0.478301, -0.558683, 1.63505, 0.00214766, -0.0361197, 0.690362, 0.722559
0.87991, 0.478185, -0.558669, 1.6356, 0.00212454, -0.0363042, 0.690404, 0.722509
0.900064, 0.478322, -0.558872, 1.63617, -7.88813e-05, -0.0380565, 0.690034, 0.722775
0.919363, 0.478326, -0.558899, 1.63704, 0.000725824, -0.0380885, 0.689774, 0.723022
