time, px, py, pz, qx, qy, qz, qw
0, -0.00210302, 0.0201977, 1.4711, -0.00788606, -0.000697134, 0.708682, 0.705484
0.0206642, -0.00210723, 0.0200084, 1.47096, -0.00821742, 2.77763e-05, 0.708719, 0.705443
0.0405831, -0.00215718, 0.0202161, 1.47103, -0.0085445, -0.00103244, 0.708441, 0.705718
0.0606449, -0.00244472, 0.0202293, 1.47039, -0.00866928, -0.000251682, 0.708357, 0.705801
0.0803318, -0.00245317, 0.0201678, 1.47036, -0.00871105, -0.00090285, 0.708285, 0.705872
0.100662, -0.00234033, 0.0200729, 1.47036, -0.00889508, -0.00104745, 0.708087, 0.706068
0.120405, -0.00259426, 0.0202132, 1.46994, -0.00847178, -0.000782781, 0.70791, 0.706252
0.140356, -0.00275845, 0.020352, 1.46963, -0.00835538, -0.00140418, 0.707845, 0.706317
0.160718, -0.00295845, 0.0201715, 1.46949, -0.00738126, -6.32657e-05, 0.708162, 0.706012
0.180692, -0.00284293, 0.0201575, 1.46952, -0.00787477, -0.000783183, 0.707981, 0.706188
0.200699, -0.00310443, 0.020432, 1.4693, -0.00674914, -0.000577395, 0.707771, 0.706409
0.220505, -0.00312428, 0.020322, 1.46895, -0.00803181, -0.000808558, 0.707857, 0.70631
0.240379, -0.00322882, 0.0203282, 1.46915, -0.00733598, -0.00067559, 0.708098, 0.706075
0.260654, -0.00317914, 0.020196, 1.4692, -0.00789407, -0.000953479, 0.707948, 0.706219
0.280649, -0.00337429, 0.020391, 1.46885, -0.00686685, -0.000730522, 0.707676, 0.706504
0.300744, -0.00337177, 0.0202738, 1.46842, -0.00750538, -0.000698306, 0.707911, 0.706262
0.320653, -0.00321365, 0.0203572, 1.46834, -0.00915441, -0.00184064, 0.708006, 0.706145
0.340505, -0.00315268, 0.0202982, 1.46715, -0.0136296, -0.00155645, 0.707773, 0.706306
0.3604, -0.00327331, 0.0203341, 1.46592, -0.0179079, -0.00132286, 0.707633, 0.706352
0.38077, -0.00302552, 0.0202938, 1.46559, -0.0231879, -0.00244889, 0.707635, 0.706193
0.400709, -0.00284781, 0.0200893, 1.46524, -0.0285825, -0.00215322, 0.7073, 0.706332
0.420553, -0.00329002, 0.0205646, 1.46494, -0.0325161, -0.00255853, 0.707021, 0.70644
0.440445, -0.00363142, 0.0206002, 1.46463, -0.0378406, -0.0023508, 0.706988, 0.706208
0.460211, -0.00412661, 0.0211316, 1.46515, -0.0397526, -0.00194556, 0.707143, 0.70595
0.480787, -0.00450498, 0.021856, 1.46565, -0.0429357, -0.00284111, 0.706608, 0.706295
0.500628, -0.00573748, 0.022475, 1.46566, -0.0452863, -0.000875417, 0.706367, 0.706396
0.520493, -0.00705461, 0.0238268, 1.46704, -0.0451319, -0.00218391, 0.70663, 0.706139
0.540334, -0.00800718, 0.0246078, 1.46832, -0.0477282, -0.00196695, 0.706822, 0.705777
0.559922, -0.00985066, 0.0267672, 1.47028, -0.0459084, -0.00391589, 0.706516, 0.706195
0.58057, -0.011829, 0.0280856, 1.47142, -0.0465773, -0.00276002, 0.70635, 0.706323
0.600467, -0.0139803, 0.0299877, 1.47342, -0.0454729, -0.0031308, 0.706876, 0.705867
0.620449, -0.0161678, 0.0321015, 1.47557, -0.0449395, -0.00372805, 0.706928, 0.705847
0.640608, -0.0186651, 0.0344619, 1.47691, -0.0442555, -0.00323181, 0.706519, 0.706301
0.660652, -0.0214668, 0.0369422, 1.47839, -0.0422477, -0.00257935, 0.706633, 0.706313
0.680752, -0.0239771, 0.0393596, 1.48038, -0.0415311, -0.00249859, 0.706772, 0.706217
0.700325, -0.0269548, 0.0422633, 1.48243, -0.0396523, -0.00284141, 0.706586, 0.70651
0.720531, -0.0303193, 0.04524, 1.48391, -0.0389892, -0.0033943, 0.706492, 0.706638
0.740603, -0.0336928, 0.0483333, 1.48585, -0.0376533, -0.00379551, 0.706847, 0.706353
0.760168, -0.0366409, 0.0511232, 1.48795, -0.0366736, -0.00352912, 0.704881, 0.708368
0.780682, -0.0409346, 0.05494, 1.48961, -0.0340795, -0.00338086, 0.706751, 0.706633
0.800743, -0.0447993, 0.0582754, 1.49093, -0.0343751, -0.00359264, 0.706931, 0.706438
0.820704, -0.0485336, 0.0621159, 1.49297, -0.0318324, -0.00405599, 0.707284, 0.7062
0.840687, -0.0523653, 0.0655986, 1.49449, -0.0309737, -0.00302415, 0.70718, 0.706348
0.860632, -0.0567146, 0.0693592, 1.49566, -0.0303235, -0.00272724, 0.706961, 0.706597
0.880754, -0.0609702, 0.0731461, 1.49698, -0.0290462, -0.00231266, 0.70742, 0.706192
0.900321, -0.0647824, 0.0768268, 1.49863, -0.0284913, -0.00268011, 0.705796, 0.707836
0.920558, -0.0695022, 0.081182, 1.49981, -0.0278506, -0.00303901, 0.707506, 0.706152
0.940069, -0.0741471, 0.0850641, 1.50035, -0.0280977, -0.00150135, 0.707444, 0.706209
0.960644, -0.0784833, 0.0893885, 1.50181, -0.0272895, -0.0027166, 0.707716, 0.705964
